seed	k	n	survive_bf	edges_bf	survive_pad	edges_pad	
15	40	20	22	33	21	36	
15	40	30	23	35	22	39	
15	40	40	23	36	22	42	
15	40	50	23	36	22	44	
15	40	60	23	36	22	47	
15	40	70	23	36	22	48	
15	40	80	23	36	22	51	
15	40	90	23	38	22	52	
15	40	100	23	38	22	55	
15	60	0	12	12	12	12	
15	60	10	25	33	20	29	
15	60	20	26	38	22	37	
15	60	30	28	42	23	39	
15	60	40	29	44	26	47	
15	60	50	30	46	26	50	
15	60	60	30	46	26	51	
15	60	70	30	47	26	52	
15	60	80	30	47	26	51	
15	60	90	30	47	26	52	
15	60	100	30	48	26	56	
15	80	0	12	12	12	12	
15	80	10	28	37	21	29	
15	80	20	32	47	29	45	
15	80	30	32	47	29	46	
15	80	40	34	53	32	54	
15	80	50	35	55	33	57	
15	80	60	38	60	36	63	
15	80	70	38	61	36	65	
15	80	80	38	62	36	68	
15	80	90	39	64	37	70	
15	80	100	39	64	37	71	
15	100	0	12	12	12	12	
15	100	10	27	38	26	37	
15	100	20	29	44	28	44	
15	100	30	32	51	31	52	
15	100	40	33	54	31	54	
15	100	50	34	59	31	58	
15	100	60	35	61	31	60	
15	100	70	34	61	31	61	
15	100	80	40	71	33	68	
15	100	90	40	72	33	69	
15	100	100	40	72	33	69	
16	20	0	8	8	8	8	
16	20	10	13	19	12	20	
16	20	20	13	19	13	21	
16	20	30	13	19	13	21	
16	20	40	13	20	13	21	
16	20	50	13	20	13	22	
16	20	60	13	20	13	22	
16	20	70	13	20	13	23	
16	20	80	13	20	13	24	
16	20	90	13	20	13	24	
16	20	100	13	20	13	26	
16	40	0	11	11	11	11	
16	40	10	22	29	19	27	
16	40	20	22	29	21	30	
16	40	30	22	30	21	34	
16	40	40	23	33	22	37	
16	40	50	23	33	22	36	
16	40	60	23	34	22	41	
16	40	70	23	34	22	41	
16	40	80	25	37	23	45	
16	40	90	25	37	24	45	
16	40	100	25	37	24	47	
16	60	0	9	9	9	9	
16	60	10	20	30	16	28	
16	60	20	23	37	18	33	
16	60	30	25	43	21	39	
16	60	40	26	47	22	46	
16	60	50	28	51	24	52	
16	60	60	28	51	24	54	
16	60	70	28	51	25	57	
16	60	80	28	51	25	58	
16	60	90	29	53	25	59	
16	60	100	29	53	25	60	
16	80	0	12	12	12	12	
16	80	10	24	33	21	28	
16	80	20	27	39	25	37	
16	80	30	33	52	31	50	
16	80	40	34	55	33	55	
16	80	50	34	58	33	57	
16	80	60	34	58	33	58	
16	80	70	34	58	33	61	
16	80	80	35	60	34	64	
16	80	90	35	61	34	66	
16	80	100	35	62	34	68	
16	100	0	17	17	17	17	
16	100	10	28	41	27	37	
16	100	20	33	52	32	51	
16	100	30	35	55	33	53	
16	100	40	38	59	34	58	
16	100	50	38	60	34	58	
16	100	60	40	65	35	63	
16	100	70	42	69	38	69	
16	100	80	42	70	38	71	
16	100	90	42	71	38	74	
16	100	100	42	71	38	77	
17	20	0	6	6	6	6	
17	20	10	8	11	8	11	
17	20	20	8	11	8	13	
17	20	30	11	16	10	16	
17	20	40	13	20	12	21	
17	20	50	13	20	12	20	
17	20	60	13	20	12	20	
17	20	70	13	20	12	21	
17	20	80	13	20	12	21	
17	20	90	13	20	12	21	
17	20	100	13	20	12	21	
17	40	0	7	7	7	7	
17	40	10	15	22	14	21	
17	40	20	21	31	18	27	
17	40	30	22	32	19	29	
17	40	40	22	34	20	35	
17	40	50	22	36	20	39	
17	40	60	22	36	20	41	
17	40	70	22	36	20	41	
17	40	80	22	36	20	44	
17	40	90	22	37	20	47	
17	40	100	22	37	20	48	
17	60	0	10	10	10	10	
17	60	10	19	29	18	26	
17	60	20	26	39	23	37	
17	60	30	29	44	25	43	
17	60	40	29	45	25	44	
17	60	50	29	45	25	45	
17	60	60	29	45	25	46	
17	60	70	31	49	27	49	
17	60	80	32	51	28	50	
17	60	90	32	52	28	53	
17	60	100	32	52	28	55	
17	80	0	10	10	10	10	
17	80	10	21	34	20	29	
17	80	20	28	49	25	41	
17	80	30	29	52	26	44	
17	80	40	30	53	25	47	
17	80	50	35	61	30	55	
17	80	60	37	63	33	58	
